t,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,cmd_thrust,roll_rad,pitch_rad,yaw_rad,alt_m,servo1,servo2,servo3,servo4
11.845,10.000,0.000,0.000,0.550,0.174813,0.000176,0.000794,10.848,594.920,1597,1596,1596,1596
11.886,10.000,0.000,0.000,0.550,0.174795,0.000214,0.000829,10.848,594.920,1597,1596,1596,1596
11.926,10.000,0.000,0.000,0.550,0.174795,0.000214,0.000829,10.848,594.920,1597,1596,1596,1596
11.968,10.000,0.000,0.000,0.550,0.174701,0.000244,0.000851,10.873,594.950,1596,1596,1596,1596
12.008,10.000,0.000,0.000,0.550,0.174613,0.000228,0.000855,10.873,594.950,1596,1596,1596,1596
12.049,10.000,0.000,0.000,0.550,0.174535,0.000191,0.000850,10.897,594.970,1596,1596,1597,1596
12.090,10.000,0.000,0.000,0.550,0.174478,0.000157,0.000849,10.897,594.970,1596,1596,1597,1596
12.130,10.000,0.000,0.000,0.550,0.174478,0.000157,0.000849,10.897,594.970,1596,1596,1597,1596
12.172,10.000,0.000,0.000,0.550,0.174425,0.000096,0.000821,10.922,595.000,1596,1596,1596,1596
12.213,10.000,0.000,0.000,0.550,0.174371,0.000055,0.000787,10.922,595.000,1596,1596,1596,1596
12.254,10.000,0.000,0.000,0.550,0.174327,0.000021,0.000748,10.947,595.020,1596,1596,1596,1596
12.294,10.000,0.000,0.000,0.550,0.174295,-0.000007,0.000724,10.947,595.020,1596,1596,1596,1596
12.335,10.000,0.000,0.000,0.550,0.174295,-0.000007,0.000724,10.947,595.020,1596,1596,1596,1596
12.376,10.000,0.000,0.000,0.550,0.174265,-0.000033,0.000696,10.971,595.050,1596,1596,1596,1596
12.416,10.000,0.000,0.000,0.550,0.174232,-0.000059,0.000660,10.971,595.050,1596,1596,1596,1596
12.458,10.000,0.000,0.000,0.550,0.174205,-0.000081,0.000626,10.996,595.070,1596,1596,1596,1596
12.498,10.000,0.000,0.000,0.550,0.174193,-0.000097,0.000615,10.996,595.070,1596,1596,1596,1596
